trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
H-00127,2023-07-12T00:48:40Z,Binance,ETH,BUY,0.396834,1812.25,0.72
H-00128,2023-07-12T19:41:24Z,Coinbase,ETH,SELL,0.121109,1415.84,0.17
H-00129,2023-07-14T16:51:58Z,Coinbase,BTC,BUY,0.02805213,48798.63,1.37
H-00130,2023-07-15T13:45:52Z,Coinbase,DOGE,BUY,24932.28,0.096189,2.40
H-00131,2023-07-16T06:54:37Z,Coinbase,DOGE,BUY,20543.20,0.095612,1.96
H-00132,2023-07-16T10:39:37Z,Coinbase,DOGE,SELL,111520.60,0.099530,11.10
H-00133,2023-07-16T13:58:18Z,Coinbase,SOL,BUY,19.3719,91.476,1.77
H-00134,2023-07-16T14:16:41Z,Coinbase,SOL,BUY,26.7373,87.744,2.35
H-00135,2023-07-16T20:43:33Z,Coinbase,BTC,BUY,0.03027326,47120.75,1.43
H-00136,2023-07-17T02:53:36Z,Coinbase,SOL,SELL,33.0972,98.007,3.24
H-00137,2023-07-17T12:25:46Z,Coinbase,CKB,SELL,546467.20,0.00309772,1.69
H-00138,2023-07-17T20:11:35Z,Binance,ETH,SELL,0.275725,1471.26,0.41
H-00139,2023-07-18T01:12:14Z,Coinbase,ETH,BUY,0.776855,1443.33,1.12
H-00140,2023-07-18T10:42:30Z,Binance,BTC,BUY,0.00970929,48721.14,0.47
H-00141,2023-07-18T16:48:45Z,Binance,CKB,BUY,715919.26,0.00310024,2.22
H-00142,2023-07-20T01:45:12Z,Binance,SOL,BUY,20.3487,81.964,1.67
H-00143,2023-07-20T06:48:50Z,Binance,DOGE,BUY,20392.88,0.092479,1.89
H-00144,2023-07-20T13:46:25Z,Binance,ETH,BUY,1.298054,1631.96,2.12
H-00145,2023-07-20T22:04:42Z,Coinbase,CKB,BUY,181957.63,0.00323060,0.59
H-00146,2023-07-20T22:21:06Z,Coinbase,BTC,SELL,0.06526167,39546.78,2.58
H-00147,2023-07-22T16:36:12Z,Binance,ETH,SELL,2.074909,1855.00,3.85
H-00148,2023-07-23T03:13:59Z,Binance,CKB,SELL,661157.17,0.00311582,2.06
H-00149,2023-07-23T19:21:27Z,Coinbase,ETH,BUY,0.950569,1736.86,1.65
H-00150,2023-07-24T03:55:56Z,Binance,CKB,BUY,117898.21,0.00300118,0.35
H-00151,2023-07-24T17:46:16Z,Coinbase,ETH,SELL,0.307383,1671.76,0.51
H-00152,2023-07-25T01:59:00Z,Binance,SOL,SELL,26.6326,82.049,2.19
H-00153,2023-07-26T05:47:57Z,Coinbase,BTC,BUY,0.01136088,46240.66,0.53
H-00154,2023-07-26T14:37:16Z,Coinbase,BTC,SELL,0.12468417,48695.52,6.07
H-00155,2023-07-26T21:17:39Z,Binance,ETH,SELL,0.357868,1665.48,0.60
H-00156,2023-07-26T23:21:49Z,Coinbase,ETH,BUY,0.870957,1779.84,1.55
H-00157,2023-07-27T02:33:08Z,Binance,DOGE,BUY,3095.66,0.107745,0.33
H-00158,2023-07-28T01:21:14Z,Binance,DOGE,BUY,5484.79,0.113964,0.63
H-00159,2023-07-30T08:47:19Z,Coinbase,SOL,BUY,12.2215,97.232,1.19
H-00160,2023-08-01T08:16:32Z,Coinbase,BTC,SELL,0.09077880,52769.97,4.79
H-00161,2023-08-01T09:53:03Z,Coinbase,CKB,BUY,474982.28,0.00308048,1.46
H-00162,2023-08-01T16:09:12Z,Binance,BTC,BUY,0.04528606,45679.95,2.07
H-00163,2023-08-02T22:51:37Z,Binance,DOGE,BUY,12816.75,0.089390,1.15
H-00164,2023-08-03T10:46:18Z,Coinbase,BTC,SELL,0.00759513,54163.28,0.41
H-00165,2023-08-03T18:22:19Z,Coinbase,SOL,BUY,10.3327,101.506,1.05
H-00166,2023-08-03T23:05:22Z,Binance,CKB,BUY,911125.26,0.00265138,2.42
H-00167,2023-08-04T04:09:10Z,Binance,SOL,SELL,55.5846,78.358,4.36
H-00168,2023-08-04T12:05:14Z,Coinbase,BTC,BUY,0.04804965,50977.54,2.45
H-00169,2023-08-05T02:53:17Z,Binance,DOGE,BUY,6959.04,0.099110,0.69
H-00170,2023-08-06T05:41:08Z,Binance,SOL,BUY,27.4320,80.444,2.21
H-00171,2023-08-06T08:33:46Z,Binance,BTC,BUY,0.02188635,51868.64,1.14
H-00172,2023-08-09T09:47:17Z,Binance,ETH,SELL,0.522224,1568.90,0.82
H-00173,2023-08-10T17:24:24Z,Binance,ETH,SELL,0.337230,1848.16,0.62
H-00174,2023-08-11T07:46:27Z,Coinbase,ETH,BUY,0.480410,1727.21,0.83
H-00175,2023-08-11T23:52:57Z,Binance,DOGE,SELL,22762.30,0.106872,2.43
H-00176,2023-08-12T01:23:31Z,Binance,CKB,BUY,101676.56,0.00288415,0.29
H-00177,2023-08-13T15:01:37Z,Coinbase,CKB,SELL,1050650.96,0.00312593,3.28
H-00178,2023-08-14T01:18:52Z,Binance,CKB,SELL,565560.53,0.00299157,1.69
H-00179,2023-08-15T19:06:25Z,Binance,SOL,BUY,4.9135,99.567,0.49
H-00180,2023-08-19T00:24:56Z,Coinbase,DOGE,BUY,11057.28,0.102086,1.13
H-00181,2023-08-19T06:44:06Z,Binance,ETH,SELL,0.221930,1616.02,0.36
H-00182,2023-08-19T09:35:08Z,Binance,BTC,BUY,0.03854025,44969.33,1.73
H-00183,2023-08-20T05:20:54Z,Binance,ETH,BUY,0.803117,1906.10,1.53
H-00184,2023-08-20T17:45:48Z,Binance,CKB,SELL,411709.93,0.00283350,1.17
H-00185,2023-08-20T20:54:47Z,Binance,BTC,BUY,0.03696739,52010.09,1.92
H-00186,2023-08-21T09:49:58Z,Coinbase,CKB,BUY,414192.19,0.00349448,1.45
H-00187,2023-08-22T09:08:10Z,Binance,CKB,SELL,697977.05,0.00314302,2.19
H-00188,2023-08-23T01:48:56Z,Binance,CKB,SELL,160210.16,0.00335902,0.54
H-00189,2023-08-23T13:16:49Z,Coinbase,ETH,BUY,0.966977,1499.81,1.45
H-00190,2023-08-23T19:05:27Z,Coinbase,SOL,SELL,11.3096,81.432,0.92
H-00191,2023-08-23T21:05:17Z,Coinbase,SOL,BUY,13.2332,98.106,1.30
H-00192,2023-08-24T01:43:37Z,Binance,CKB,SELL,393654.95,0.00280838,1.11
H-00193,2023-08-24T13:12:42Z,Binance,DOGE,BUY,23550.88,0.090856,2.14
H-00194,2023-08-25T12:43:14Z,Coinbase,BTC,SELL,0.01915052,47451.48,0.91
H-00195,2023-08-29T05:50:52Z,Coinbase,SOL,BUY,20.7353,79.510,1.65
H-00196,2023-08-29T13:50:33Z,Binance,CKB,BUY,521543.65,0.00268568,1.40
H-00197,2023-08-29T22:32:01Z,Coinbase,DOGE,SELL,64856.82,0.113495,7.36
H-00198,2023-08-29T23:34:49Z,Coinbase,ETH,SELL,0.844649,1561.16,1.32
H-00199,2023-08-31T02:18:07Z,Coinbase,SOL,BUY,3.3589,99.941,0.34
H-00200,2023-08-31T21:17:03Z,Binance,DOGE,SELL,11170.39,0.098464,1.10
H-00201,2023-08-31T22:13:32Z,Binance,BTC,BUY,0.02169947,47759.16,1.04
H-00202,2023-09-01T19:47:38Z,Coinbase,ETH,BUY,1.374687,1554.19,2.14
H-00203,2023-09-02T03:41:44Z,Binance,DOGE,BUY,19960.41,0.122168,2.44
H-00204,2023-09-02T08:12:31Z,Coinbase,ETH,BUY,1.348626,1623.93,2.19
H-00205,2023-09-02T21:31:17Z,Binance,SOL,BUY,4.0780,79.626,0.32
H-00206,2023-09-03T07:34:16Z,Binance,ETH,BUY,0.442493,2009.16,0.89
H-00207,2023-09-03T21:51:48Z,Coinbase,CKB,BUY,238883.97,0.00357203,0.85
H-00208,2023-09-04T03:10:53Z,Coinbase,DOGE,SELL,40849.48,0.101740,4.16
H-00209,2023-09-04T03:53:05Z,Coinbase,BTC,SELL,0.07556068,43411.65,3.28
H-00210,2023-09-04T21:36:22Z,Coinbase,SOL,BUY,9.9825,79.371,0.79
H-00211,2023-09-06T07:09:21Z,Coinbase,ETH,BUY,1.381103,1710.00,2.36
H-00212,2023-09-06T18:40:31Z,Coinbase,BTC,SELL,0.11012284,53588.94,5.90
H-00213,2023-09-07T05:17:49Z,Binance,ETH,SELL,1.689854,1725.10,2.92
H-00214,2023-09-07T08:44:40Z,Coinbase,BTC,BUY,0.02127645,56171.45,1.20
H-00215,2023-09-07T16:25:26Z,Coinbase,BTC,BUY,0.01337647,44135.02,0.59
H-00216,2023-09-08T21:59:04Z,Coinbase,BTC,SELL,0.00908652,42623.97,0.39
H-00217,2023-09-10T11:45:58Z,Binance,BTC,SELL,0.01412809,46680.46,0.66
H-00218,2023-09-11T22:46:27Z,Binance,DOGE,SELL,11137.23,0.108959,1.21
H-00219,2023-09-13T07:16:58Z,Binance,BTC,SELL,0.00320916,44986.49,0.14
H-00220,2023-09-13T13:51:44Z,Coinbase,CKB,SELL,867702.09,0.00329612,2.86
H-00221,2023-09-13T16:19:19Z,Coinbase,DOGE,BUY,20802.26,0.104612,2.18
H-00222,2023-09-14T06:35:25Z,Binance,DOGE,BUY,9338.96,0.096752,0.90
H-00223,2023-09-15T17:06:31Z,Coinbase,CKB,BUY,796096.64,0.00303575,2.42
H-00224,2023-09-15T22:05:49Z,Coinbase,CKB,SELL,709324.62,0.00366713,2.60
H-00225,2023-09-15T22:12:48Z,Binance,BTC,BUY,0.01093608,56650.09,0.62
H-00226,2023-09-16T07:26:07Z,Binance,DOGE,BUY,19893.54,0.093445,1.86
H-00227,2023-09-16T09:32:23Z,Coinbase,CKB,SELL,363023.73,0.00350526,1.27
H-00228,2023-09-17T09:49:41Z,Coinbase,ETH,BUY,0.381009,1886.44,0.72
H-00229,2023-09-17T17:50:41Z,Coinbase,CKB,BUY,881403.92,0.00281159,2.48
H-00230,2023-09-18T08:00:57Z,Binance,DOGE,BUY,21140.33,0.109408,2.31
H-00231,2023-09-18T18:21:04Z,Binance,SOL,BUY,20.6255,99.823,2.06
H-00232,2023-09-20T22:43:23Z,Coinbase,BTC,SELL,0.00234100,54555.56,0.13
H-00233,2023-09-21T06:57:59Z,Binance,SOL,SELL,33.0640,107.637,3.56
H-00234,2023-09-21T18:43:51Z,Binance,CKB,BUY,397065.95,0.00311837,1.24
H-00235,2023-09-21T18:57:38Z,Binance,SOL,SELL,8.5735,108.615,0.93
H-00236,2023-09-24T06:08:13Z,Coinbase,SOL,SELL,17.3814,89.459,1.55
H-00237,2023-09-24T13:09:11Z,Binance,CKB,BUY,278177.32,0.00307581,0.86
H-00238,2023-09-25T05:28:36Z,Binance,BTC,BUY,0.02982548,56083.90,1.67
H-00239,2023-09-25T16:44:51Z,Coinbase,ETH,SELL,1.562054,1842.50,2.88
H-00240,2023-09-25T22:05:41Z,Coinbase,ETH,SELL,1.709537,1661.67,2.84
H-00241,2023-09-25T22:47:54Z,Binance,DOGE,SELL,48618.44,0.107956,5.25
H-00242,2023-09-26T07:10:14Z,Coinbase,DOGE,SELL,19388.88,0.097154,1.88
H-00243,2023-09-26T21:50:16Z,Coinbase,CKB,BUY,502149.21,0.00328967,1.65
H-00244,2023-09-27T04:15:07Z,Binance,DOGE,BUY,10003.83,0.097679,0.98
H-00245,2023-09-27T07:29:33Z,Coinbase,SOL,BUY,14.3442,107.144,1.54
H-00246,2023-09-27T15:35:14Z,Coinbase,BTC,SELL,0.04664971,46932.30,2.19
H-00247,2023-09-28T01:52:13Z,Coinbase,CKB,BUY,446396.57,0.00336202,1.50
H-00248,2023-09-28T09:17:07Z,Binance,DOGE,BUY,14235.47,0.117057,1.67
H-00249,2023-09-29T05:59:39Z,Binance,CKB,BUY,192381.39,0.00306517,0.59
H-00250,2023-09-30T11:27:19Z,Coinbase,SOL,SELL,18.4206,108.536,2.00
H-00251,2023-10-02T00:11:39Z,Coinbase,CKB,BUY,325065.28,0.00346617,1.13
H-00252,2023-10-03T17:19:25Z,Coinbase,ETH,BUY,0.137283,1620.91,0.22
H-00253,2023-10-04T05:41:48Z,Binance,BTC,BUY,0.02951087,47893.54,1.41
H-00254,2023-10-05T10:22:38Z,Binance,CKB,BUY,584321.17,0.00336371,1.97
H-00255,2023-10-05T23:21:48Z,Coinbase,DOGE,BUY,19955.42,0.098796,1.97
H-00256,2023-10-06T01:15:35Z,Binance,DOGE,BUY,2021.86,0.122553,0.25
H-00257,2023-10-06T12:34:35Z,Coinbase,CKB,BUY,722034.73,0.00290937,2.10
H-00258,2023-10-06T15:05:33Z,Coinbase,BTC,BUY,0.01909882,50744.28,0.97
H-00259,2023-10-07T18:26:39Z,Coinbase,BTC,BUY,0.01265274,55863.24,0.71
H-00260,2023-10-09T23:43:19Z,Binance,DOGE,SELL,17458.00,0.116778,2.04
H-00261,2023-10-11T04:14:25Z,Coinbase,DOGE,BUY,7544.07,0.107442,0.81
H-00262,2023-10-11T14:22:06Z,Binance,SOL,BUY,8.5683,90.830,0.78
H-00263,2023-10-11T21:51:23Z,Coinbase,ETH,BUY,0.936192,2132.44,2.00
H-00264,2023-10-13T08:41:30Z,Coinbase,ETH,SELL,0.564074,1989.31,1.12
H-00265,2023-10-13T14:46:57Z,Coinbase,CKB,BUY,549842.61,0.00297566,1.64
H-00266,2023-10-14T00:45:48Z,Coinbase,CKB,BUY,693101.57,0.00291055,2.02
H-00267,2023-10-14T01:51:32Z,Coinbase,DOGE,BUY,14688.99,0.121353,1.78
H-00268,2023-10-14T02:48:07Z,Binance,CKB,BUY,49263.71,0.00316281,0.16
H-00269,2023-10-14T04:02:26Z,Coinbase,CKB,BUY,515336.26,0.00347080,1.79
H-00270,2023-10-14T15:21:17Z,Coinbase,ETH,BUY,0.974568,2142.89,2.09
H-00271,2023-10-14T21:54:03Z,Coinbase,SOL,BUY,16.2816,92.629,1.51
H-00272,2023-10-15T17:37:59Z,Binance,SOL,SELL,28.4077,108.996,3.10
H-00273,2023-10-15T23:30:48Z,Coinbase,BTC,BUY,0.00885625,58857.98,0.52
H-00274,2023-10-16T06:18:32Z,Coinbase,ETH,BUY,1.057431,2162.89,2.29
H-00275,2023-10-17T10:46:50Z,Binance,ETH,SELL,0.563234,2097.54,1.18
H-00276,2023-10-19T22:27:28Z,Binance,BTC,BUY,0.01709459,50773.18,0.87
H-00277,2023-10-21T05:18:37Z,Binance,CKB,SELL,1081803.06,0.00352282,3.81
H-00278,2023-10-21T07:29:45Z,Binance,DOGE,BUY,1430.86,0.120085,0.17
H-00279,2023-10-21T12:31:37Z,Binance,CKB,SELL,5421375.39,0.00356309,19.32
H-00280,2023-10-22T03:23:14Z,Binance,BTC,SELL,0.04156400,49606.43,2.06
H-00281,2023-10-22T17:58:50Z,Binance,ETH,BUY,0.891767,1652.60,1.47
H-00282,2023-10-23T07:16:27Z,Binance,CKB,BUY,201823.29,0.00322401,0.65
H-00283,2023-10-23T12:56:35Z,Binance,CKB,SELL,34311.29,0.00349322,0.12
H-00284,2023-10-23T18:20:19Z,Binance,DOGE,BUY,7989.63,0.122172,0.98
H-00285,2023-10-25T03:14:31Z,Coinbase,ETH,BUY,0.195860,1776.70,0.35
H-00286,2023-10-26T14:44:08Z,Coinbase,BTC,SELL,0.01619459,58360.53,0.95
H-00287,2023-10-28T17:55:20Z,Binance,SOL,BUY,19.2593,103.427,1.99
H-00288,2023-10-28T19:14:36Z,Binance,CKB,BUY,218345.46,0.00328169,0.72
H-00289,2023-10-30T01:23:59Z,Coinbase,DOGE,SELL,29340.83,0.128624,3.77
H-00290,2023-10-30T11:29:58Z,Binance,SOL,BUY,5.5227,100.678,0.56
H-00291,2023-11-01T21:22:52Z,Coinbase,BTC,SELL,0.01691700,54656.95,0.92
H-00292,2023-11-01T22:57:32Z,Coinbase,DOGE,BUY,16863.63,0.108202,1.82
H-00293,2023-11-03T18:21:03Z,Coinbase,CKB,BUY,471172.92,0.00299450,1.41
